"('Date', '')","('Open', '^VIX')",Date,Open,Timestamp_NY,VIX_Latest
,,2023-09-08,14.22,,
,,2023-09-11,14.17,,
,,2023-09-12,14.02,,
,,2023-10-02,17.31,,
,,2023-10-03,17.81,,
,,2023-10-04,20.72,,
,,2023-10-05,18.67,,
,,2023-10-06,18.73,,
,,2023-10-09,19.54,,
,,2023-10-10,17.7,,
,,2023-10-11,16.95,,
,,2023-10-12,16.08,,
,,2023-11-01,18.02,,
,,2023-11-02,16.59,,
,,2023-11-03,15.7,,
,,2023-11-06,15.39,,
,,2023-11-07,15.1,,
,,2023-11-08,14.91,,
,,2023-11-09,14.61,,
,,2023-11-10,15.09,,
,,2023-12-01,12.94,,
,,2023-12-04,13.28,,
,,2023-12-05,13.26,,
,,2023-12-06,12.78,,
,,2023-12-07,13.17,,
,,2023-12-08,13.14,,
,,2023-12-11,13.05,,
,,2023-12-12,12.69,,
,,2024-01-02,13.22,,
,,2024-01-03,13.35,,
,,2024-01-04,13.93,,
,,2024-01-05,14.24,,
,,2024-01-08,14.0,,
,,2024-01-09,13.2,,
,,2024-01-10,12.86,,
,,2024-01-11,12.64,,
,,2024-01-12,12.66,,
,,2024-02-01,14.21,,
,,2024-02-02,13.95,,
,,2024-02-05,14.37,,
,,2024-02-06,13.57,,
,,2024-02-07,13.06,,
,,2024-02-08,12.95,,
,,2024-02-09,12.79,,
,,2024-02-12,13.48,,
,,2024-03-01,13.34,,
,,2024-03-04,13.49,,
,,2024-03-05,13.75,,
,,2024-03-06,14.27,,
,,2024-03-07,14.98,,
,,2024-03-08,14.22,,
,,2024-03-11,15.51,,
,,2024-03-12,14.97,,
,,2024-04-01,13.61,,
,,2024-04-02,13.74,,
,,2024-04-03,15.0,,
,,2024-04-04,14.29,,
,,2024-04-05,16.45,,
,,2024-04-08,16.24,,
,,2024-04-09,15.34,,
,,2024-04-10,15.24,,
,,2024-04-11,16.02,,
,,2024-04-12,14.91,,
,,2024-05-01,15.75,,
,,2024-05-02,15.14,,
,,2024-05-03,14.51,,
,,2024-05-06,13.98,,
,,2024-05-07,13.52,,
,,2024-05-08,13.24,,
,,2024-05-09,13.08,,
,,2024-05-10,12.77,,
,,2024-06-03,13.08,,
,,2024-06-04,13.51,,
,,2024-06-05,13.14,,
,,2024-06-06,12.75,,
,,2024-06-07,12.69,,
,,2024-06-10,13.09,,
,,2024-06-11,12.85,,
,,2024-06-12,13.1,,
,,2024-07-01,12.98,,
,,2024-07-02,12.67,,
,,2024-07-03,12.13,,
,,2024-07-05,12.37,,
,,2024-07-08,12.91,,
,,2024-07-09,12.48,,
,,2024-07-10,12.51,,
,,2024-07-11,12.88,,
,,2024-07-12,12.87,,
,,2024-08-01,16.2,,
,,2024-08-02,20.52,,
,,2024-08-05,23.39,,
,,2024-08-06,33.71,,
,,2024-08-07,24.77,,
,,2024-08-08,28.34,,
,,2024-08-09,23.78,,
,,2024-08-12,20.79,,
,,2024-09-03,15.76,,
,,2024-09-04,23.2,,
,,2024-09-05,20.75,,
,,2024-09-06,21.98,,
,,2024-09-09,21.32,,
,,2024-09-10,19.86,,
,,2024-09-11,19.41,,
,,2024-09-12,17.62,,
,,2024-10-01,16.96,,
,,2024-10-02,19.65,,
,,2024-10-03,19.63,,
,,2024-10-04,20.48,,
,,2024-10-07,20.76,,
,,2024-10-08,22.92,,
,,2024-10-09,21.98,,
,,2024-10-10,20.91,,
,,2024-10-11,20.87,,
,,2024-11-01,22.96,,
,,2024-11-04,22.5,,
,,2024-11-05,21.98,,
,,2024-11-06,16.06,,
,,2024-11-07,15.86,,
,,2024-11-08,15.13,,
,,2024-11-11,15.33,,
,,2024-11-12,15.09,,
,,2024-12-02,14.08,,
,,2024-12-03,13.38,,
,,2024-12-04,13.16,,
,,2024-12-05,13.46,,
,,2024-12-06,13.62,,
,,2024-12-09,13.36,,
,,2024-12-10,14.3,,
,,2024-12-11,14.42,,
,,2024-12-12,13.73,,
,,2025-01-02,17.21,,
,,2025-01-03,17.66,,
,,2025-01-06,16.77,,
,,2025-01-07,16.48,,
,,2025-01-08,17.91,,
,,2025-02-03,20.36,,
,,2025-02-04,18.78,,
,,2025-02-05,17.54,,
,,2025-02-06,15.88,,
,,2025-02-07,15.38,,
,,2025-03-03,19.83,,
,,2025-03-04,22.96,,
,,2025-03-05,23.03,,
,,2025-03-06,22.6,,
,,2025-03-07,24.85,,
,,2025-04-01,22.06,,
,,2025-04-02,22.3,,
,,2025-04-03,26.38,,
,,2025-04-04,30.12,,
,,2025-04-07,60.13,,
,,2025-04-08,44.04,,
,,2025-05-01,23.94,,
,,2025-05-02,23.63,,
,,2025-05-05,24.25,,
,,2025-05-06,23.97,,
,,2025-05-07,24.56,,
,,2025-05-08,22.84,,
,,2025-06-02,19.81,,
,,2025-06-03,18.83,,
,,2025-06-04,17.68,,
,,2025-06-05,17.68,,
,,2025-06-06,18.16,,
,,2025-07-01,16.98,,
,,2025-07-02,16.75,,
,,2025-07-03,16.65,,
,,2025-07-07,17.83,,
,,2025-07-08,17.41,,
,,2025-08-01,17.4,,
,,2025-08-04,19.56,,
,,,,,
